URL: /
Timestamp: Wed Jun 29 2022 16:12:09 GMT+0100 (British Summer Time)

URL: /favicon.ico
Timestamp: Wed Jun 29 2022 16:12:09 GMT+0100 (British Summer Time)

URL: /documentation
Timestamp: Wed Jun 29 2022 16:12:15 GMT+0100 (British Summer Time)

::1 - - [08/Jul/2022:15:50:42 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:50:46 +0000] "GET /users/1 HTTP/1.1" 404 146 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:50:48 +0000] "GET /users/2 HTTP/1.1" 404 146 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:50:50 +0000] "GET /users/3 HTTP/1.1" 404 146 "-" "PostmanRuntime/7.29.0"
::ffff:127.0.0.1 - - [11/Jul/2022:10:30:23 +0000] "GET /api-doc HTTP/1.1" 404 146 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [11/Jul/2022:10:43:13 +0000] "GET / HTTP/1.1" 200 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [11/Jul/2022:10:43:13 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [11/Jul/2022:10:44:40 +0000] "GET /documentation HTTP/1.1" 200 4881 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [11/Jul/2022:10:44:41 +0000] "GET /css/styles.css HTTP/1.1" 200 57 "http://localhost:8080/documentation" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [20/Jul/2022:19:57:16 +0000] "GET /documentation HTTP/1.1" 200 4881 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [20/Jul/2022:19:57:16 +0000] "GET /css/styles.css HTTP/1.1" 200 57 "http://localhost:8080/documentation" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [20/Jul/2022:19:57:16 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8080/documentation" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [20/Jul/2022:19:59:00 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8080/api-docs/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [20/Jul/2022:20:20:08 +0000] "GET / HTTP/1.1" 200 28 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [20/Jul/2022:20:20:09 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::ffff:127.0.0.1 - - [20/Jul/2022:20:20:10 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
::1 - - [25/Jul/2022:10:41:23 +0000] "GET /users/yama HTTP/1.1" 404 149 "-" "PostmanRuntime/7.29.0"
::1 - - [25/Jul/2022:10:42:50 +0000] "GET /users/test HTTP/1.1" 404 149 "-" "PostmanRuntime/7.29.0"
::1 - - [25/Jul/2022:10:43:30 +0000] "GET /users/test HTTP/1.1" 404 149 "-" "PostmanRuntime/7.29.0"
::1 - - [25/Jul/2022:10:43:32 +0000] "GET /users/test HTTP/1.1" 404 149 "-" "PostmanRuntime/7.29.0"
::1 - - [25/Jul/2022:10:44:06 +0000] "GET /users/test HTTP/1.1" 404 149 "-" "PostmanRuntime/7.29.0"
::1 - - [25/Jul/2022:10:44:07 +0000] "GET /users/test HTTP/1.1" 404 149 "-" "PostmanRuntime/7.29.0"
